"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2012-11-23,"2012w47","Final",108.68,0.81608,133.17321831193,104.555452610892,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,23.8609453097132,24.4365390025622,99.3204811334905,0.8085,26.9790980286254,88.1080980286254,117.92315352417,211.757142857143,206.839751552795,18.602672390679,21.6067037275,130.777456521739
2012-11-30,"2012w48","Final",108.05,0.8228,131.319883325231,103.799875287935,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,24.6165226326697,24.4602993587336,97.349337424741,0.8085,27.1281663516068,88.2571663516068,118.916942344045,212.9,207.982608695652,21.5676049193044,21.6379157806492,130.777456521739
2012-12-07,"2012w49","Final",105.95,0.82534,128.371337872877,103.443540687255,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,24.9728572333499,24.484059714905,94.5288883016329,0.8085,27.1281663516068,88.2571663516068,118.916942344045,212.9,207.982608695652,24.3880540424125,21.6691278337983,130.777456521739
2012-12-14,"2012w50","Final",105.06,0.83846,125.301147341555,99.4815541885833,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,28.9348437320216,24.5078200710764,92.2797677413536,0.8085,26.6809613826627,87.8099613826627,115.935575884418,209.471428571429,204.554037267081,23.6558081430645,21.7003398869474,130.777456521739
2012-12-21,"2012w51","Final",106.34,0.84018,126.568116356019,100.344912421184,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,28.0714854994207,24.5315804272477,93.5407761023181,0.8085,26.606427221172,87.735427221172,115.43868147448,208.9,203.982608695652,21.8979053721621,21.7315519400965,130.777456521739
2012-12-28,"2012w52","Final",106.46,0.8214,129.607986364743,102.875032842747,0.9345,19.4588846880907,19.8338846880907,128.416397920605,151.9,149.184782608696,25.5413650778578,24.5553407834191,97.6432484159723,0.8085,26.606427221172,87.735427221172,115.43868147448,208.9,203.982608695652,17.7954330585078,21.7627639932456,130.777456521739
2013-01-04,"2013w01","Final",107.3,0.827233333333333,129.709473344885,102.425285862548,0.9345,19.4444369430192,19.8194369430192,128.320079620128,153.614285714286,149.074016563147,25.8947937575795,24.5791011395905,98.3542659667667,0.8085,26.9686200378072,88.0976200378072,117.853300252048,212.328571428571,206.759420289855,19.4990342852812,21.7939760463948,132.268139751553
2013-01-11,"2013w02","Final",107.45,0.8378,128.252566244927,101.813809341381,0.9345,19.4420289855072,19.8170289855072,128.304026570048,153.9,149.055555555556,26.4902172286676,24.6028614957618,96.0899548584262,0.8085,27.0289855072464,88.1579855072464,118.255736714976,212.9,207.222222222222,22.1657818565497,21.8251880995439,132.516586956522
2013-01-18,"2013w03","Final",107.13,0.83968,127.584317835366,101.449014870764,0.9345,19.2184265010352,19.5934265010352,126.813343340235,152.185714285714,147.34126984127,25.3643284694708,24.6266218519332,94.6332715333245,0.8085,26.8612836438923,87.9902836438923,117.137724292616,211.614285714286,205.936507936508,22.5044527592911,21.856400152693,131.025903726708
2013-01-25,"2013w04","Final",108.64,0.83882,129.515271452755,102.429858755986,0.9345,18.9202898550725,19.2952898550725,124.825765700483,149.9,145.055555555556,22.3959069444967,24.6535805115342,97.2837457706222,0.8085,26.6376811594203,87.7666811594203,115.647041062802,209.9,204.222222222222,18.3632952921797,21.9161145955278,129.038326086957
