"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2004-04-23,"2004w17","Final",32.1,0.633,50.74,43.4,0,7.5,7.9,59.6,67.5,67.5,18.7,18.3322105605902,48.6,0,12.7,54.7,59.8,114.5,114.5,13.9,13.7782351112777,59.6
2004-04-30,"2004w18","Final",32.65,0.626,52.16,45.8,0,7.3,7.7,58.3,66,66,15.9,18.3326179862905,52.2,0,12.6,54.5,58.5,113,113,11.8,13.7598470455537,58.3
2004-05-07,"2004w19","Final",33.38,0.63,52.94,47.8,0,7.8,8.2,62.2,70.3,70.3,18.8,18.3330254119908,53.3,0,13,55,62.3,117.3,117.3,13.8,13.7414589798298,62.1
2004-05-14,"2004w20","Final",34.41,0.609,56.55,48.1,0,8.3,8.7,66.2,74.9,74.9,20.5,18.3334328376911,56.4,0,13.5,55.5,66.4,121.9,121.9,14.2,13.7230709141058,66.2
2004-05-21,"2004w21","Final",35.77,0.602,59.4,46.5,0,8.3,8.6,65.7,74.3,74.3,17.9,18.3338402633915,54.3,0,13.5,55.4,65.9,121.3,121.3,12.6,13.7046828483819,65.7
2004-05-28,"2004w22","Final",35.03,0.618,56.68,45.7,0,8.5,8.9,68,76.9,76.9,19.9,18.3342476890918,53.7,0,13.8,55.7,68.2,123.9,123.9,11.8,13.6862947826579,68
2004-06-04,"2004w23","Final",35.22,0.628,56.13,44.3,0,8.5,8.9,67.7,76.6,76.6,21.3,18.3346551147921,49.4,0,13.7,55.7,67.9,123.6,123.6,13.6,13.667906716934,67.7
2004-06-11,"2004w24","Final",33.52,0.629,53.3,44.5,0,8.2,8.5,65.1,73.6,73.6,19.4,18.3350625404924,48.2,0,13.4,55.4,65.2,120.6,120.6,11.5,13.64951865121,65.1
2004-06-18,"2004w25","Final",33.31,0.627,53.12,44.5,0,8,8.3,63.3,71.6,71.6,19,18.3354699661927,47.7,0,13.2,55.1,63.5,118.6,118.6,14.1,13.6311305854861,63.3
2004-06-25,"2004w26","Final",33.66,0.63,53.45,43.2,0,7.8,8.1,61.8,69.9,69.9,17.3,18.3356710080719,44.6,0,13,55,61.9,116.9,116.9,13.7,13.6081347298156,61.8
2004-07-02,"2004w27","Final",32.19,0.637,50.51,45.8,0,7.6,8,60.5,68.5,68.5,16.1,18.335872049951,47.3,0,12.7,54.7,59.8,114.5,114.5,12.2,13.5851388741452,60.5
2004-07-09,"2004w28","Final",34.41,0.652,52.78,45.8,0,7.7,8,61.1,69.2,69.2,17.9,18.3360730918302,48.3,0,12.5,54.5,58.4,112.9,112.9,13.8,13.5621430184747,61.2
2004-07-16,"2004w29","Final",34.44,0.656,52.52,47.7,0,7.9,8.2,62.7,70.9,70.9,16.9,18.3362741337093,48.9,0,12.7,54.6,59.3,113.9,113.9,12,13.5391471628042,62.7
2004-07-23,"2004w30","Final",34.72,0.65,53.44,51,0,8,8.3,63.4,71.8,71.8,17.6,18.3364751755885,51.3,0,12.9,54.8,60.9,115.8,115.8,12.7,13.5161513071338,63.5
2004-07-30,"2004w31","Final",35.24,0.632,55.75,51.5,0,8.3,8.6,66,74.6,74.6,18.2,18.3366762174676,53.1,0,13.1,55.1,63,118,118,14,13.4931554514633,66
2004-08-06,"2004w32","Final",37.04,0.642,57.74,51,0,8.6,9,68.6,77.6,77.6,17.6,18.3368772593467,53.2,0,13.4,55.4,65.2,120.6,120.6,14,13.4701595957928,68.6
2004-08-13,"2004w33","Final",38.19,0.654,58.39,52,0,8.8,9.1,69.8,78.9,78.9,18.3,18.3370783012259,53.9,0,13.5,55.5,66.4,121.9,121.9,13.3,13.4471637401224,69.8
2004-08-20,"2004w34","Final",39.81,0.666,59.77,52,0,8.8,9.1,69.8,78.9,78.9,18.8,18.3341737038988,52.8,0,13.5,55.5,66.4,121.9,121.9,13.2,13.4186212828619,69.8
2004-08-27,"2004w35","Final",39.6,0.656,60.34,50.9,0,8.8,9.1,69.8,78.9,78.9,17.7,18.3312691065717,50.1,0,13.5,55.5,66.4,121.9,121.9,12.5,13.3900788256014,69.8
2004-09-03,"2004w36","Final",36.46,0.652,55.91,52.9,0,8.8,9.1,69.9,79,79,17.9,18.3283645092446,49.3,0,13.5,55.5,66.3,121.8,121.8,13.5,13.361536368341,69.9
2004-09-10,"2004w37","Final",34.96,0.65,53.79,53.3,0,8.7,9,68.9,77.9,77.9,18,18.3254599119176,49.9,0,13.3,55.3,64.6,119.9,119.9,14.6,13.3329939110805,68.9
2004-09-17,"2004w38","Final",34.57,0.659,52.45,54.7,0,8.7,9,68.9,77.9,77.9,16,18.3225553145905,51.6,0,13.3,55.3,64.6,119.9,119.9,15.3,13.3044514538201,68.9
2004-09-24,"2004w39","Final",35.28,0.663,53.21,55.1,0,8.7,9,69,78,78,15.7,18.3196507172634,52.7,0,13.3,55.3,64.7,120,120,14.8,13.2759089965596,69
2004-10-01,"2004w40","Final",37.26,0.671,55.57,53.5,0,9.1,9.4,72.2,81.6,81.6,17.4,18.3167461199363,53.5,0,13.4,55.4,65.5,120.9,120.9,13.8,13.2473665392991,72.2
2004-10-08,"2004w41","Final",37.8,0.673,56.14,57.3,0,9.1,9.5,72.4,81.9,81.9,17.3,18.3138415226092,55.4,0,13.4,55.4,65.5,120.9,120.9,12.8,13.2188240820387,72.4
2004-10-15,"2004w42","Final",37.72,0.68,55.47,56.8,0,9.1,9.5,72.8,82.3,82.3,19.3,18.3061176926604,53.2,0,13.6,55.6,66.8,122.3,122.3,13.3,13.1857559520056,72.8
2004-10-22,"2004w43","Final",37.54,0.688,54.58,55.9,0,9.4,9.7,74.7,84.5,84.5,17.5,18.2983938627115,53.6,0,13.9,55.9,69.2,125,125,13.8,13.1526878219725,74.8
2004-10-29,"2004w44","Final",37.38,0.692,54.03,52.9,0,9.3,9.7,74.2,83.9,83.9,17.5,18.2906700327627,51.8,0,13.7,55.7,67.7,123.3,123.3,14.4,13.1196196919394,74.2
2004-11-05,"2004w45","Final",36.66,0.688,53.31,53.3,0,9.3,9.7,74.2,83.9,83.9,18.3,18.2829462028138,51.3,0,13.5,55.5,66.4,121.9,121.9,12.8,13.0865515619063,74.2
2004-11-12,"2004w46","Final",34.98,0.69,50.71,51.9,0,9.2,9.6,73.5,83,83,20.6,18.275222372865,49,0,13.4,55.4,65.6,121,121,13.8,13.0534834318732,73.4
2004-11-19,"2004w47","Final",32.97,0.701,47.01,53.1,0,9.1,9.4,72.2,81.6,81.6,18.8,18.2674985429161,50.4,0,13.3,55.3,64.4,119.6,119.6,13,13.0204153018401,72.2
2004-11-26,"2004w48","Final",33.72,0.712,47.37,49.8,0,8.9,9.3,70.9,80.2,80.2,19,18.2597747129673,48.1,0,13.1,55.1,63.2,118.3,118.3,14.2,12.987347171807,70.9
2004-12-03,"2004w49","Final",35.46,0.716,49.53,45.2,0,9.1,9.4,72.2,81.6,81.6,19.1,18.2520508830184,42.3,0,13.4,55.4,65.2,120.6,120.6,14.9,12.954279041774,72.2
2004-12-10,"2004w50","Final",33.23,0.717,46.35,47.6,0,8.4,8.7,66.7,75.5,75.5,16.9,18.2443954408229,42.8,0,12.7,54.6,59.3,113.9,113.9,11.2,12.9194839476801,66.8
2004-12-17,"2004w51","Final",33.94,0.71,47.81,48.2,0,8.1,8.5,64.4,72.9,72.9,19.3,18.2367399986274,43.1,0,12.2,54.2,55.7,109.9,109.9,13.4,12.8846888535862,64.4
2004-12-24,"2004w52","Final",35.95,0.713,50.46,44.1,0,8.4,8.8,66.9,75.7,75.7,19.3,18.2290845564318,41.5,0,12.5,54.4,57.7,112.1,112.1,14.9,12.8498937594923,66.9
2004-12-31,"2004w53","Final",33.38,0.718,46.51,46,0,8.5,8.8,67.4,76.2,76.2,19.2,18.2214291142363,42.5,0,12.5,54.5,58,112.5,112.5,14.9,12.8150986653984,67.4
2005-01-07,"2005w01","Final",34.44,0.7,49.18,47.4,0,8.2,8.5,65,73.5,73.5,20.4,18.2137736720407,45,0,12.3,54.2,56.2,110.5,110.5,14.3,12.7803035713045,65
2005-01-14,"2005w02","Final",37.01,0.699,52.94,47.7,0,8.5,8.9,67.7,76.6,76.6,21.8,18.2061182298452,48.4,0,12.6,54.6,59,113.6,113.6,16.5,12.7455084772106,67.7
2005-01-21,"2005w03","Final",39.32,0.7,56.19,49.6,0,8.7,9,68.9,77.9,77.9,21.5,18.1984627876497,49.1,0,13,55,62.2,117.2,117.2,17.2,12.7107133831168,68.9
2005-01-28,"2005w04","Final",40.35,0.714,56.5,48.7,0,8.7,9,68.9,77.9,77.9,21.1,18.1908073454541,48.5,0,13.1,55.1,63.1,118.2,118.2,14.7,12.6759182890229,68.9
